Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,NOAMP,EXPFAIL,MTP
A1,WT_SHAM,Alb,UNKNOWN,SYBR,None,,,,26.08010101,26.02816963,0.261514068,,,,,,,TRUE,0.036347137,TRUE,3,24,1,93.02216339,,,,N,N,N
A2,KO_SHAM,Alb,UNKNOWN,SYBR,None,,,,26.29809189,26.38952637,0.079195969,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.87324524,,,,N,N,N
A3,KO_A,Alb,UNKNOWN,SYBR,None,,,,27.10942078,26.9030323,0.195901871,,,,,,,TRUE,0.036347137,TRUE,3,26,1,92.87324524,,,,N,N,N
A4,KO_B,Alb,UNKNOWN,SYBR,None,,,,25.43249893,25.62126732,0.166584074,,,,,,,TRUE,0.036347137,TRUE,3,23,1,92.87324524,,,,N,N,N
A5,KO_C,Alb,UNKNOWN,SYBR,None,,,,25.65393257,25.73242188,0.098264471,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.72432709,,,,N,N,N
A6,KO_D,Alb,UNKNOWN,SYBR,None,,,,24.63377762,25.20461464,0.498089015,,,,,,,TRUE,0.036347137,TRUE,3,22,1,92.72432709,,,,N,N,N
A7,H2O,Alb,UNKNOWN,SYBR,None,,,,42.15316772,42.15316772,,,,,,,,TRUE,0.036347137,TRUE,3,40,1,91.38406372,70.23770905,,,N,N,Y
B1,WT_SHAM,Alb,UNKNOWN,SYBR,None,,,,26.25982285,26.02816963,0.261514068,,,,,,,TRUE,0.036347137,TRUE,3,24,1,93.02216339,,,,N,N,N
B2,KO_SHAM,Alb,UNKNOWN,SYBR,None,,,,26.43667793,26.38952637,0.079195969,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.87324524,,,,N,N,N
B3,KO_A,Alb,UNKNOWN,SYBR,None,,,,26.71964836,26.9030323,0.195901871,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.87324524,,,,N,N,N
B4,KO_B,Alb,UNKNOWN,SYBR,None,,,,25.68364143,25.62126732,0.166584074,,,,,,,TRUE,0.036347137,TRUE,3,23,1,92.87324524,,,,N,N,N
B5,KO_C,Alb,UNKNOWN,SYBR,None,,,,25.70070839,25.73242188,0.098264471,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.72432709,,,,N,N,N
B6,KO_D,Alb,UNKNOWN,SYBR,None,,,,25.55087662,25.20461464,0.498089015,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.72432709,,,,N,N,N
C1,WT_SHAM,Alb,UNKNOWN,SYBR,None,,,,25.74458694,26.02816963,0.261514068,,,,,,,TRUE,0.036347137,TRUE,3,24,1,93.02216339,,,,N,N,N
C2,KO_SHAM,Alb,UNKNOWN,SYBR,None,,,,26.43380356,26.38952637,0.079195969,,,,,,,TRUE,0.036347137,TRUE,3,25,1,92.87324524,,,,N,N,N
C3,KO_A,Alb,UNKNOWN,SYBR,None,,,,26.88002777,26.9030323,0.195901871,,,,,,,TRUE,0.036347137,TRUE,3,25,1,92.87324524,,,,N,N,N
C4,KO_B,Alb,UNKNOWN,SYBR,None,,,,25.74766541,25.62126732,0.166584074,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.87324524,,,,N,N,N
C5,KO_C,Alb,UNKNOWN,SYBR,None,,,,25.84262848,25.73242188,0.098264471,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.72432709,,,,N,N,N
C6,KO_D,Alb,UNKNOWN,SYBR,None,,,,25.42918777,25.20461464,0.498089015,,,,,,,TRUE,0.036347137,TRUE,3,24,1,92.72432709,,,,N,N,N